name,popularity,album,release_date,duration_ms
Fortnight (feat. Post Malone),76,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,228965
The Tortured Poets Department,74,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,293048
My Boy Only Breaks His Favorite Toys,76,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,203801
Down Bad,76,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,261228
"So Long, London",75,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,262974
But Daddy I Love Him,75,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,340428
Fresh Out The Slammer,73,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,210789
Florida!!! (feat. Florence + The Machine),73,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,215463
Guilty as Sin?,77,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,254365
Who’s Afraid of Little Old Me?,75,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,334084
I Can Fix Him (No Really I Can),71,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,156297
loml,75,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,277156
I Can Do It With a Broken Heart,76,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,218004
The Smallest Man Who Ever Lived,76,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,245541
The Alchemy,74,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,196900
Clara Bow,71,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,216662
The Black Dog,75,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,238857
imgonnagetyouback,76,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,222072
The Albatross,71,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,183878
Chloe or Sam or Sophia or Marcus,73,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,213281
How Did It End?,75,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,238706
